Z, 0.183720930233
%, 0.103488372093
<, 0.080523255814
c, 0.0686046511628
X, 0.0651162790698
L, 0.059011627907
P, 0.0561046511628
|, 0.0537790697674
a, 0.0526162790698
W, 0.0514534883721
[, 0.0386627906977
R, 0.0311046511628
s, 0.0238372093023
i, 0.0186046511628
*, 0.0171511627907
4, 0.0154069767442
\, 0.0154069767442
+, 0.0148255813953
O, 0.0130813953488
7, 0.0122093023256
>, 0.00843023255814
., 0.00668604651163
y, 0.00610465116279
6, 0.00174418604651
o, 0.00116279069767
:, 0.000872093023256
C, 0.000290697674419
